scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S2,continuous,B,100,240.0,66.66666666666667,0.35,574,12,12,152.4,500ft,False,disabled,1080,302,778,73,0,700,915,700,1357.0790253114094,83.9243842148106,0.0,0.0,0.0,0.0,0.0,0,0.07385547049491968,0.7472222222222222,0.075,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1073,7,100,10.8,20,S2_cycle0002_B_seed1201,2,1201,B
S2,continuous,C,100,240.0,66.66666666666667,0.35,579,12,12,152.4,500ft,False,disabled,1080,268,812,1261,1261,344,345,1605,1238.9150178573782,63.01008478640895,33.77777777777778,0.0,0.0,0.0,0.0,0,0.0,0.18425925925925926,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1071,9,100,10.8,20,S2_cycle0002_C_seed1202,2,1202,C
S2,continuous,D,100,240.0,66.66666666666667,0.35,557,12,12,152.4,500ft,False,disabled,1080,443,637,26,0,435,435,435,1396.7738113398532,90.09975968667979,44.333333333333336,0.0,0.0,0.0,0.0,0,0.04505424830379302,0.725925925925926,0.024074074074074074,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1066,14,100,10.8,18,S2_cycle0002_D_seed1203,2,1203,D
S2,continuous,E,100,240.0,66.66666666666667,0.35,571,12,12,152.4,500ft,True,disabled,1080,330,750,29,9,2245,85139,2254,1593.0565956606476,881.7620986768475,1118.5426681601552,1090.7648903823774,746.2274249511796,1836.9923153335524,5147.943890379278,1066,0.007496605161369037,0.7962962962962963,0.020370370370370372,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,494,586,100,10.8,16,S2_cycle0002_E_seed1204,2,1204,E
S2,continuous,A,100,240.0,66.66666666666667,0.35,562,12,12,152.4,500ft,False,disabled,1080,77,1003,1626,1626,871,1141,2497,1523.7487046384945,82.42976251951526,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1075,5,100,10.8,20,S2_cycle0003_A_seed1300,3,1300,A
S2,continuous,B,100,240.0,66.66666666666667,0.35,519,12,12,152.4,500ft,False,disabled,1080,258,822,17,0,799,1041,799,1470.812253554861,86.60582847028738,0.0,0.0,0.0,0.0,0.0,0,0.010874269911638774,0.7222222222222222,0.01574074074074074,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1071,9,100,10.8,20,S2_cycle0003_B_seed1301,3,1301,B
S2,continuous,C,100,240.0,66.66666666666667,0.35,560,12,12,152.4,500ft,False,disabled,1080,229,851,1130,1130,428,435,1558,1308.6440412633679,65.7905718069675,47.611111111111114,0.0,0.0,0.0,0.0,0,0.0,0.26666666666666666,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1070,10,100,10.8,19,S2_cycle0003_C_seed1302,3,1302,C
S2,continuous,D,100,240.0,66.66666666666667,0.35,549,12,12,152.4,500ft,False,disabled,1080,260,820,52,2,723,733,725,1473.5194404002764,113.79245339342563,78.66666666666667,0.0,0.0,0.0,0.0,0,0.029500677954267314,0.6425925925925926,0.05462962962962963,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1062,18,100,10.8,20,S2_cycle0003_D_seed1303,3,1303,D
S2,continuous,E,100,240.0,66.66666666666667,0.35,536,12,12,152.4,500ft,True,disabled,1080,272,808,46,24,2251,52632,2275,1381.1929260681093,836.8695456487127,1125.8233411105987,1093.7122299994874,721.743900198872,1815.4561301983588,5045.5133120015635,1065,0.04750148415997365,0.8064814814814815,0.040740740740740744,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,507,573,100,10.8,15,S2_cycle0003_E_seed1304,3,1304,E
S2,continuous,A,100,240.0,66.66666666666667,0.35,576,12,12,152.4,500ft,False,disabled,1080,42,1038,2420,2420,888,1112,3308,1482.8672299496254,80.89356409425673,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S2,중소형 확장 도시 시나리오,2000,2000,50,12,100,10800,10,1080,1075,5,100,10.8,22,S2_cycle0004_A_seed1400,4,1400,A
