scenario_name,run_count,wall_time_s,generated_missions_total,completed_within_duration_total,completion_rate_pct,collision_risk_count_total,risk_per_1000_missions,avg_pad_delay_s_mean,avg_flight_time_s_mean,models
S1,17525,172812.14312279993,18927000,16190143,85.53993237174407,27305454,1442.672055793311,410.8326167317071,244.0443051785476,"A,B,C,D,E"
S2,13215,172831.58889429993,14272200,12670879,88.78013901150489,18200733,1275.2577037877832,356.03586676190497,224.26317299164256,"A,B,C,D,E"
S3,13064,172809.59433740005,14109120,13330265,94.47977620149237,14784673,1047.8805907101223,279.574194012918,200.04620358115525,"A,B,C,D,E"
S4,22940,172813.45355099998,24775200,24281646,98.00787077399981,15345573,619.3924973360457,89.127017135211,140.48036661721645,"A,B,C,D,E"
S5,15698,172803.15187019994,16953840,16685456,98.41697220216777,12390791,730.8545438673481,52.39513367237987,133.8846143008013,"A,B,C,D,E"
S6,11477,172804.86062629987,12395160,12197001,98.40131954730718,11046618,891.2041474252853,52.53383396434968,134.83202841034466,"A,B,C,D,E"
