wallclock_model,block_count,common_runs_used,risk_mean,risk_variance,risk_std
A,18,18000,1748.4333847736625,5510.825402189964,74.23493383973589
B,18,18000,501.11795267489714,389.62648522743586,19.738958564915116
C,18,18000,1379.9689300411524,5340.986987232937,73.08205653396008
D,18,18000,325.7787037037037,246.50796508109428,15.700572125916121
E,18,18000,1006.2848251028806,2579.310379865539,50.78691150154278
