scenario_id,sweep,model,flight_id,aircraft_id,time_s,x,y,z,phase,cruise_altitude,start_time,cruise_arrival_time,descent_start_time,end_time,origin_id,destination_id,speed_kmh,safety_distance_m,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s
S1,continuous,B,0,67,0.0,323.058,930.863,172.504,climb,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,8.5,323.058,930.863,215.003,climb,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,16.999,323.058,930.863,257.501,climb,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,25.499,323.058,930.863,300.0,climb,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,25.499,323.058,930.863,300.0,cruise,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,32.622,73.264,527.007,300.0,cruise,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,32.622,73.264,527.007,300.0,descend,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,41.286,73.264,527.007,256.682,descend,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,0,67,49.949,73.264,527.007,213.364,descend,300.0,0.0,32.622,32.622,49.949,2,7,240.0,152.4,0.0,0.0,0.0
S1,continuous,B,1,24,229.949,73.264,527.007,213.364,climb,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
S1,continuous,B,1,24,239.058,73.264,527.007,258.909,climb,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
S1,continuous,B,1,24,248.168,73.264,527.007,304.455,climb,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
S1,continuous,B,1,24,257.277,73.264,527.007,350.0,climb,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
S1,continuous,B,1,24,257.277,73.264,527.007,350.0,cruise,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
S1,continuous,B,1,24,262.314,372.736,375.065,350.0,cruise,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
S1,continuous,B,1,24,262.314,372.736,375.065,350.0,descend,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
S1,continuous,B,1,24,270.865,372.736,375.065,307.242,descend,350.0,229.949,262.314,262.314,296.52,7,6,240.0,152.4,219.949,0.0,219.949
