scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model,run_wall_time_s,worker_elapsed_s
S3,continuous,A,150,240.0,66.66666666666667,0.45,714,20,20,152.4,500ft,False,disabled,1080,214,866,1048,1048,383,463,1431,1713.4630877728036,68.55453159800092,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1073,7,149,7.248322147651007,15,S3_cycle0000_A_seed1000,0,1000,A,0.8831599000841379,0.8847793999593705
S3,continuous,B,150,240.0,66.66666666666667,0.45,755,20,20,152.4,500ft,False,disabled,1080,412,668,67,0,529,682,529,1935.0828550180534,93.56042974808432,0.0,0.0,0.0,0.0,0.0,0,0.04536422148860553,0.5888888888888889,0.06388888888888888,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1070,10,150,7.2,13,S3_cycle0000_B_seed1001,0,1001,B,6.034964600112289,7.610544899944216
S3,continuous,C,150,240.0,66.66666666666667,0.45,740,20,20,152.4,500ft,False,disabled,1080,249,831,1227,1227,210,210,1437,1694.7187517592859,71.17488229849259,16.0,0.0,0.0,0.0,0.0,0,0.0,0.12685185185185185,0.0,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1072,8,150,7.2,16,S3_cycle0000_C_seed1002,0,1002,C,1.949098499957472,9.563592900056392
S3,continuous,D,150,240.0,66.66666666666667,0.45,731,20,20,152.4,500ft,False,disabled,1080,674,406,81,0,241,241,241,1896.3309353717116,90.31819524052935,22.5,0.0,0.0,0.0,0.0,0,0.20138446484195102,0.6777777777777778,0.06296296296296296,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1071,9,150,7.2,14,S3_cycle0000_D_seed1003,0,1003,D,11.793940299889073,21.361450500087813
S3,continuous,E,150,240.0,66.66666666666667,0.45,743,20,20,152.4,500ft,True,disabled,1080,356,724,28,7,1189,12132,1196,2129.2713432278447,624.5625822423186,906.3226207788541,876.6003985566318,493.82287310153424,1370.4232716581662,3080.717269118006,1051,0.05281453556597045,0.8379629629629629,0.022222222222222223,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,825,255,150,7.2,10,S3_cycle0000_E_seed1004,0,1004,E,43.09988360013813,64.46578359999694
S3,continuous,A,150,240.0,66.66666666666667,0.45,754,20,20,152.4,500ft,False,disabled,1080,141,939,1463,1463,443,555,1906,1721.9713360131414,80.59020397679649,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1074,6,150,7.2,16,S3_cycle0001_A_seed1100,1,1100,A,1.0948846000246704,65.5652544000186
S3,continuous,B,150,240.0,66.66666666666667,0.45,669,20,20,152.4,500ft,False,disabled,1080,490,590,79,0,397,478,397,1789.161345291177,74.63936639477872,0.0,0.0,0.0,0.0,0.0,0,0.1635877872785485,0.6703703703703704,0.07777777777777778,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1073,7,150,7.2,17,S3_cycle0001_B_seed1101,1,1101,B,6.752788300160319,72.32248670002446
S3,continuous,C,150,240.0,66.66666666666667,0.45,744,20,20,152.4,500ft,False,disabled,1080,227,853,1121,1121,334,334,1455,1792.8851559424156,87.077789628791,20.833333333333332,0.0,0.0,0.0,0.0,0,0.0,0.1648148148148148,0.0,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1067,13,150,7.2,15,S3_cycle0001_C_seed1102,1,1102,C,2.30602729995735,74.63335760007612
S3,continuous,D,150,240.0,66.66666666666667,0.45,740,20,20,152.4,500ft,False,disabled,1080,581,499,70,0,325,326,325,2035.1483384794353,106.27727588977275,22.77777777777778,0.0,0.0,0.0,0.0,0,0.5032852795317765,0.7314814814814815,0.06018518518518518,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,1068,12,150,7.2,13,S3_cycle0001_D_seed1103,1,1103,D,13.327871900051832,87.9659462000709
S3,continuous,E,150,240.0,66.66666666666667,0.45,719,20,20,152.4,500ft,True,disabled,1080,399,681,60,36,1167,15988,1203,1975.0353490518428,639.6246081530734,887.9006997407977,865.9562552963532,515.2442138425733,1381.2004691389266,3418.1339485354347,1054,0.07525455274459644,0.8074074074074075,0.05,S3,중형 고밀도 도시 시나리오,3000,3000,75,15,150,10800,10,1080,832,248,150,7.2,10,S3_cycle0001_E_seed1104,1,1104,E,41.22703619999811,129.19782730005682
