scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S6,continuous,E,0,0,162,takeoff,0.0,30.0,30.0,0.0
S6,continuous,E,14,0,162,landing,83.70330937196243,273.7033093719624,189.99999999999997,0.0
S6,continuous,E,1,1,35,takeoff,10.0,40.0,30.0,0.0
S6,continuous,E,36,1,35,landing,114.55921264554632,304.5592126455463,190.0,0.0
S6,continuous,E,1,2,137,takeoff,40.0,70.0,30.0,20.0
S6,continuous,E,0,2,137,landing,159.10189920301815,349.10189920301815,190.0,0.0
S6,continuous,E,10,3,252,takeoff,30.0,60.0,30.0,0.0
S6,continuous,E,21,3,252,landing,171.9865485955188,361.9865485955188,190.0,0.0
S6,continuous,E,32,4,165,takeoff,40.0,70.0,30.0,0.0
S6,continuous,E,19,4,165,landing,205.5361839124071,395.53618391240707,189.99999999999997,0.0
S6,continuous,E,37,5,123,takeoff,50.0,80.0,30.0,0.0
S6,continuous,E,5,5,123,landing,73.13396750190996,263.13396750191,190.0,0.0
S6,continuous,E,25,6,214,takeoff,60.0,90.0,30.0,0.0
S6,continuous,E,0,6,214,landing,349.10189920301815,539.1018992030181,189.99999999999994,157.6184469838978
S6,continuous,E,34,7,139,takeoff,70.0,100.0,30.0,0.0
S6,continuous,E,15,7,139,landing,245.12463456879266,435.12463456879266,190.0,0.0
S6,continuous,E,24,8,207,takeoff,80.0,110.0,30.0,0.0
S6,continuous,E,13,8,207,landing,197.50736410762568,387.5073641076257,190.0,0.0
S6,continuous,E,33,9,66,takeoff,90.0,120.0,30.0,0.0
S6,continuous,E,13,9,66,landing,387.5073641076257,577.5073641076257,190.0,176.684407439572
S6,continuous,E,16,10,48,takeoff,100.0,130.0,30.0,0.0
S6,continuous,E,26,10,48,landing,155.765406264156,345.765406264156,190.0,0.0
S6,continuous,E,11,11,296,takeoff,110.0,140.0,30.0,0.0
S6,continuous,E,39,11,296,landing,208.44566742263837,398.4456674226384,190.00000000000003,0.0
S6,continuous,E,0,12,342,takeoff,539.1018992030181,569.1018992030181,30.0,359.1018992030181
S6,continuous,E,6,12,342,landing,695.7530342813934,885.7530342813934,190.0,0.0
S6,continuous,E,37,13,290,takeoff,130.0,160.0,30.0,0.0
S6,continuous,E,6,13,290,landing,228.62862098553381,418.6286209855338,190.0,0.0
S6,continuous,E,32,14,333,takeoff,140.0,170.0,30.0,0.0
S6,continuous,E,23,14,333,landing,274.4760977917667,464.4760977917667,190.0,0.0
S6,continuous,E,14,15,258,takeoff,273.7033093719624,303.7033093719624,30.0,123.7033093719624
S6,continuous,E,5,15,258,landing,357.7153693823558,547.7153693823558,190.0,0.0
S6,continuous,E,14,16,239,takeoff,303.7033093719624,333.7033093719624,30.0,143.7033093719624
S6,continuous,E,16,16,239,landing,383.7163007035262,573.7163007035263,190.00000000000006,0.0
S6,continuous,E,39,17,81,takeoff,398.4456674226384,428.4456674226384,30.0,168.4456674226384
S6,continuous,E,15,17,81,landing,525.2481629160646,715.2481629160646,190.0,0.0
S6,continuous,E,15,18,254,takeoff,435.12463456879266,465.12463456879266,30.0,195.12463456879266
S6,continuous,E,37,18,254,landing,534.0928889844677,724.0928889844677,190.0,0.0
S6,continuous,E,18,19,152,takeoff,190.0,220.0,30.0,0.0
S6,continuous,E,26,19,152,landing,345.765406264156,535.765406264156,190.0,87.58553812128088
S6,continuous,E,18,20,121,takeoff,220.0,250.0,30.0,20.0
S6,continuous,E,15,20,121,landing,715.2481629160646,905.2481629160646,190.0,405.4970321465452
S6,continuous,E,39,21,195,takeoff,428.4456674226384,458.4456674226384,30.0,218.4456674226384
S6,continuous,E,22,21,195,landing,561.9125252288318,751.9125252288318,190.0,0.0
S6,continuous,E,28,22,53,takeoff,220.0,250.0,30.0,0.0
S6,continuous,E,25,22,53,landing,271.3726107952738,461.3726107952738,190.0,0.0
S6,continuous,E,33,23,263,takeoff,230.0,260.0,30.0,0.0
S6,continuous,E,15,23,263,landing,905.2481629160646,1095.2481629160648,190.0000000000001,527.3605750356602
S6,continuous,E,2,24,184,takeoff,240.0,270.0,30.0,0.0
S6,continuous,E,21,24,184,landing,398.3450035634768,588.3450035634768,190.0,0.0
S6,continuous,E,22,25,133,takeoff,250.0,280.0,30.0,0.0
S6,continuous,E,3,25,133,landing,389.52444198037364,579.5244419803737,190.00000000000006,0.0
S6,continuous,E,25,26,103,takeoff,461.3726107952738,491.3726107952738,30.0,201.37261079527377
S6,continuous,E,18,26,103,landing,617.9593018065236,807.9593018065236,190.0,0.0
S6,continuous,E,24,27,225,takeoff,270.0,300.0,30.0,0.0
S6,continuous,E,26,27,225,landing,535.765406264156,725.765406264156,190.0,211.89204460327568
S6,continuous,E,18,28,298,takeoff,280.0,310.0,30.0,0.0
S6,continuous,E,33,28,298,landing,398.66551824976034,588.6655182497603,190.0,0.0
S6,continuous,E,35,29,273,takeoff,290.0,320.0,30.0,0.0
S6,continuous,E,7,29,273,landing,433.4250453816298,623.4250453816298,190.00000000000006,0.0
S6,continuous,E,19,30,65,takeoff,395.53618391240707,425.53618391240707,30.0,95.53618391240707
S6,continuous,E,0,30,65,landing,577.1172840901997,767.1172840901997,190.0,0.0
S6,continuous,E,4,31,31,takeoff,310.0,340.0,30.0,0.0
S6,continuous,E,35,31,31,landing,396.8006203141537,586.8006203141538,190.00000000000006,0.0
S6,continuous,E,25,32,212,takeoff,491.3726107952738,521.3726107952738,30.0,171.37261079527377
S6,continuous,E,14,32,212,landing,629.0558129181762,819.0558129181762,190.0,0.0
S6,continuous,E,8,33,110,takeoff,330.0,360.0,30.0,0.0
S6,continuous,E,34,33,110,landing,441.05848428090115,631.0584842809012,190.00000000000006,0.0
S6,continuous,E,18,34,85,takeoff,340.0,370.0,30.0,0.0
S6,continuous,E,6,34,85,landing,885.7530342813934,1075.7530342813934,190.0,378.38277635217366
S6,continuous,E,36,35,0,takeoff,350.0,380.0,30.0,0.0
S6,continuous,E,0,35,0,landing,767.1172840901997,957.1172840901997,190.0,213.05897770648608
S6,continuous,E,33,36,230,takeoff,588.6655182497603,618.6655182497603,30.0,168.66551824976034
S6,continuous,E,25,36,230,landing,664.1025203527956,854.1025203527956,190.0,0.0
S6,continuous,E,6,37,324,takeoff,418.6286209855338,448.6286209855338,30.0,48.628620985533814
S6,continuous,E,14,37,324,landing,819.0558129181762,1009.0558129181762,190.0,232.31727732205832
S6,continuous,E,35,38,253,takeoff,586.8006203141538,616.8006203141538,30.0,206.80062031415378
S6,continuous,E,26,38,253,landing,725.765406264156,915.765406264156,190.0,70.3281209127291
S6,continuous,E,26,39,177,takeoff,915.765406264156,945.765406264156,30.0,525.765406264156
