scenario_name,wallclock_model,run_count,generated_missions,completed_within_duration,building_collision_count,aircraft_collision_count,collision_risk_count,avg_pad_delay_s,avg_flight_time_s,pad_wait_flight_count,risk_per_1000_missions,completion_rate_pct
S1,A,9,9720,9664,9978,9413,19391,0.0,66.68671887745747,0,1994.9588477366256,99.42386831275721
S1,B,9,9720,9655,0,11237,11237,0.0,81.49315634131898,0,1156.0699588477366,99.33127572016461
S1,C,9,9720,9539,5687,6536,12223,0.0,93.91665313172216,0,1257.5102880658435,98.13786008230453
S1,D,9,9720,9524,33,7434,7467,0.0,100.72657806413507,0,768.2098765432098,97.98353909465021
S1,E,9,9720,3145,147,21596,21743,2065.297446810364,900.04488339201,9637,2236.934156378601,32.3559670781893
S2,A,7,7560,7514,12037,5197,17234,0.0,73.11467937789108,0,2279.6296296296296,99.39153439153439
S2,B,7,7560,7506,0,5343,5343,0.0,81.2065265901622,0,706.7460317460318,99.28571428571429
S2,C,7,7560,7480,7719,2994,10713,0.0,77.83402095236609,0,1417.063492063492,98.94179894179894
S2,D,7,7560,7452,5,3684,3689,0.0,99.84057140820872,0,487.962962962963,98.57142857142858
S2,E,7,7560,3595,161,13577,13738,1781.2386676538968,798.1514020468769,7469,1817.1957671957673,47.55291005291005
S3,A,6,6480,6436,9370,2569,11939,0.0,78.63776434093471,0,1842.4382716049383,99.32098765432099
S3,B,6,6480,6426,0,2981,2981,0.0,91.15197847124166,0,460.0308641975309,99.16666666666667
S3,C,6,6480,6424,7056,1628,8684,0.0,82.04573068280705,0,1340.1234567901236,99.1358024691358
S3,D,6,6480,6422,0,1796,1796,0.0,94.93436584813246,0,277.1604938271605,99.10493827160494
S3,E,6,6480,4911,148,8196,8344,1404.7209424258706,656.3811041009079,6327,1287.6543209876543,75.78703703703704
S4,A,11,11880,11777,12362,2965,15327,0.0,92.62302092084647,0,1290.151515151515,99.13299663299662
S4,B,11,11880,11760,0,3306,3306,0.0,107.1373637925402,0,278.2828282828283,98.98989898989899
S4,C,11,11880,11771,10872,1831,12703,0.0,96.32655229551341,0,1069.2760942760945,99.08249158249158
S4,D,11,11880,11742,0,2097,2097,0.0,111.87994126112595,0,176.5151515151515,98.83838383838383
S4,E,11,11880,11131,96,3550,3646,455.351957320315,301.0346973410026,10681,306.90235690235687,93.6952861952862
S5,A,8,8640,8557,13353,1797,15150,0.0,100.59698688963262,0,1753.4722222222224,99.03935185185185
S5,B,8,8640,8553,0,1941,1941,0.0,116.49079545962144,0,224.65277777777777,98.99305555555556
S5,C,8,8640,8554,10844,1102,11946,0.0,104.08617541520982,0,1382.638888888889,99.00462962962962
S5,D,8,8640,8539,0,1122,1122,0.0,116.99186806720175,0,129.86111111111111,98.83101851851852
S5,E,8,8640,8320,15,1475,1490,245.07245456802798,221.2246864649914,6903,172.4537037037037,96.29629629629629
S6,A,6,6480,6419,12433,1382,13815,0.0,96.74446738563051,0,2131.944444444445,99.05864197530863
S6,B,6,6480,6410,0,1556,1556,0.0,115.6258172788294,0,240.12345679012344,98.91975308641975
S6,C,6,6480,6423,9846,793,10639,0.0,99.56369173592985,0,1641.820987654321,99.12037037037037
S6,D,6,6480,6406,0,950,950,0.0,117.36753833221535,0,146.60493827160496,98.85802469135803
S6,E,6,6480,6233,27,1109,1136,267.94158795078016,237.91148209898464,5272,175.30864197530866,96.18827160493827
