scenario_id,sweep,model,aircraft_count,speed_kmh,speed_mps,building_density,building_count,vertiport_count,actual_vertiport_count,safety_distance_m,safety_label,pad_occupancy_enabled,weather,total_flights,success_flights,failed_flights,building_risk_count,building_collision_count,aircraft_collision_count,aircraft_conflict_sample_count,collision_risk_count,avg_flight_distance_m,avg_flight_time_s,avg_delay_s,avg_takeoff_pad_delay_s,avg_landing_pad_delay_s,avg_pad_delay_s,max_pad_delay_s,pad_wait_flight_count,avg_detour_distance_m,avg_altitude_changes,avg_path_changes,scenario_name,description,map_width,map_height,grid_size,road_width,fleet_size,duration_s,mission_interval_s,generated_missions,completed_within_duration,completed_after_duration,active_vehicle_count,avg_missions_per_active_vehicle,max_missions_per_vehicle,run_id,cycle,run_seed,wallclock_model
S1,continuous,B,75,240.0,66.66666666666667,0.35,312,8,8,152.4,500ft,False,disabled,1080,129,951,44,0,1106,1431,1106,1116.862330561194,84.98856708931287,0.0,0.0,0.0,0.0,0.0,0,0.039310040611218,0.6351851851851852,0.0407407407407407,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1072,8,75,14.4,22,S1_cycle0002_B_seed1201,2,1201,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,326,8,8,152.4,500ft,False,disabled,1080,178,902,933,933,561,564,1494,1106.1409023978697,77.71244849094336,67.77777777777777,0.0,0.0,0.0,0.0,0,0.0,0.2972222222222222,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1061,19,75,14.4,23,S1_cycle0002_C_seed1202,2,1202,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,342,8,8,152.4,500ft,False,disabled,1080,224,856,29,0,778,783,778,1079.762531039852,100.27153346480344,116.33333333333331,0.0,0.0,0.0,0.0,0,0.0775366569233181,0.8157407407407408,0.0268518518518518,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1057,23,75,14.4,26,S1_cycle0002_D_seed1203,2,1203,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,318,8,8,152.4,500ft,True,disabled,1080,261,819,46,9,1541,24785,1550,1529.4023359825494,787.3397776659664,1344.054655203411,1326.4435440923005,647.7953598334914,1974.2389039257916,3692.8296470321575,1074,0.0284630530814016,0.8361111111111111,0.0388888888888888,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,357,723,75,14.4,17,S1_cycle0002_E_seed1204,2,1204,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,317,8,8,152.4,500ft,False,disabled,1080,69,1011,1172,1172,1075,1398,2247,1165.6658917389946,80.45145000373762,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1072,8,75,14.4,22,S1_cycle0003_A_seed1300,3,1300,A
S1,continuous,B,75,240.0,66.66666666666667,0.35,312,8,8,152.4,500ft,False,disabled,1080,114,966,172,0,1278,1611,1278,1108.809613347193,72.71091094220485,0.0,0.0,0.0,0.0,0.0,0,0.1983942016149235,0.5185185185185185,0.1148148148148148,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1073,7,75,14.4,22,S1_cycle0003_B_seed1301,3,1301,B
S1,continuous,C,75,240.0,66.66666666666667,0.35,326,8,8,152.4,500ft,False,disabled,1080,149,931,745,745,615,617,1360,1250.7072496949625,86.63545342922053,92.5,0.0,0.0,0.0,0.0,0,0.0,0.3638888888888889,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1063,17,75,14.4,25,S1_cycle0003_C_seed1302,3,1302,C
S1,continuous,D,75,240.0,66.66666666666667,0.35,301,8,8,152.4,500ft,False,disabled,1080,141,939,41,2,1072,1153,1074,1179.7645394216222,119.78106667838676,141.22222222222223,0.0,0.0,0.0,0.0,0,0.0282774233511969,0.6518518518518519,0.0379629629629629,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1055,25,75,14.4,21,S1_cycle0003_D_seed1303,3,1303,D
S1,continuous,E,75,240.0,66.66666666666667,0.35,296,8,8,152.4,500ft,True,disabled,1080,399,681,34,20,2062,65312,2082,1192.049245331054,890.2067659755166,1323.6483378861,1301.426115663878,788.9503986088265,2090.3765142727007,4587.530204686078,1065,0.0344116982465746,0.8472222222222222,0.0259259259259259,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,349,731,75,14.4,19,S1_cycle0003_E_seed1304,3,1304,E
S1,continuous,A,75,240.0,66.66666666666667,0.35,323,8,8,152.4,500ft,False,disabled,1080,92,988,908,908,827,992,1735,979.1891095004788,54.43598796513239,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,S1,소형 고혼잡 도시 시나리오,1500,1500,50,10,75,10800,10,1080,1072,8,75,14.4,29,S1_cycle0004_A_seed1400,4,1400,A
