scenario_name,run_count,wall_time_s,generated_missions_total,completed_within_duration_total,completed_after_duration_total,collision_risk_count_total,building_collision_count_total,aircraft_collision_count_total,avg_pad_delay_s_mean,max_pad_delay_s_max,avg_flight_time_s_mean,models
S1,45,3948.594765625,48600,41527,7073,72061,15845,56216,413.0594893620728,6160.0,248.57359796132877,"A,B,C,D,E"
S2,35,4105.194025458,37800,33547,4253,50717,19922,30795,356.2477335307793,5147.943890379278,226.029440075101,"A,B,C,D,E"
S3,30,3760.727186375,32400,30619,1781,33744,16574,17170,280.9441884851741,4123.126319652185,200.6301886888047,"A,B,C,D,E"
S4,55,3812.369708625,59400,58181,1219,37079,23330,13749,91.07039146406302,2701.9688917307394,141.80031512220572,"A,B,C,D,E"
S5,40,4026.639534292,43200,42523,677,31649,24212,7437,49.01449091360559,1528.764101084168,131.8781024593314,"A,B,C,D,E"
S6,30,4179.570503833,32400,31891,509,28096,22306,5790,53.58831759015603,1650.3309053969724,133.44259936631795,"A,B,C,D,E"
