scenario_name,run_count,wall_time_s,generated_missions_total,completed_within_duration_total,completion_rate_pct,collision_risk_count_total,risk_per_1000_missions,avg_pad_delay_s_mean,avg_flight_time_s_mean,models
S1,45,3948.594765625,48600,41527,85.44650205761317,72061,1482.7366255144032,413.0594893620728,248.57359796132877,"A,B,C,D,E"
S2,35,4105.194025458,37800,33547,88.74867724867724,50717,1341.7195767195767,356.2477335307793,226.029440075101,"A,B,C,D,E"
S3,30,3760.727186375,32400,30619,94.50308641975309,33744,1041.4814814814815,280.9441884851741,200.6301886888047,"A,B,C,D,E"
S4,55,3812.369708625,59400,58181,97.94781144781145,37079,624.2255892255893,91.07039146406302,141.80031512220572,"A,B,C,D,E"
S5,40,4026.639534292,43200,42523,98.43287037037037,31649,732.6157407407408,49.01449091360559,131.8781024593314,"A,B,C,D,E"
S6,30,4179.570503833,32400,31891,98.42901234567901,28096,867.1604938271605,53.58831759015603,133.44259936631795,"A,B,C,D,E"
