scenario_id,sweep,model,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S001,model_comparison,A,0,734.0,1495.1111260109117,1536.8884493133903,1536.8884493133903,1588.1220664521682,761.1111260109117,761.1111260109117,0.0,761.1111260109117,1495.1111260109117,1525.1111260109117,1578.1220664521682,1768.1220664521682,300.0,798.0701187603281,0.0,0,0,0,0
S001,model_comparison,A,1,845.0,1842.1479236228417,1882.157641417473,1882.157641417473,1887.214217766826,997.1479236228417,997.1479236228417,0.0,997.1479236228417,1842.1479236228417,1872.1479236228417,1882.157641417473,2072.1576414174733,300.0,1051.1136472764936,0.0,0,0,0,0
S001,model_comparison,A,2,533.0,1025.7995005190987,1068.6609041484548,1258.2643072339713,1263.3208835833243,492.79950051909873,492.79950051909873,189.60340308551645,682.4029036046152,1025.7995005190987,1055.7995005190987,1258.2643072339713,1448.2643072339713,300.0,742.7230258060696,0.0,0,0,0,0
S001,model_comparison,A,3,673.0,770.3800419990534,784.1307428903516,1228.765936804467,1265.6546118724093,97.38004199905345,97.38004199905345,444.63519391411546,542.0152359131689,770.3800419990534,800.3800419990534,1255.6546118724093,1445.6546118724093,300.0,551.3387499901935,0.0,0,0,0,0
S001,model_comparison,A,4,157.0,157.0,198.52926815074932,345.5292681507493,372.14792362284174,0.0,0.0,147.0,147.0,157.0,187.0,362.14792362284174,552.1479236228417,300.0,761.724389512633,0.0,0,0,0,0
S001,model_comparison,A,5,272.0,272.0,335.1084654152536,335.1084654152536,340.1650417646065,0.0,0.0,0.0,0.0,272.0,302.0,335.1084654152536,525.1084654152536,300.0,1073.1075192057,0.0,0,0,0,0
S001,model_comparison,A,6,602.0,740.3800419990534,759.0573963871398,1355.5292681507494,1382.1479236228417,138.38004199905345,138.38004199905345,596.4718717636096,734.851913762663,740.3800419990534,770.3800419990534,1372.1479236228417,1562.1479236228417,300.0,828.4322184634873,0.0,0,0,0,0
S001,model_comparison,A,7,564.0,1001.1791443114744,1057.8916195499805,1165.5292681507494,1192.1479236228417,437.1791443114744,437.1791443114744,107.6376486007689,544.8167929122433,1001.1791443114744,1031.1791443114744,1182.1479236228417,1372.1479236228417,300.0,1346.8655982962193,0.0,1,1,0,0
S001,model_comparison,A,8,834.0,834.0,851.6176733773751,1726.88844931339,1778.122066452168,0.0,0.0,875.2707759360151,875.2707759360151,834.0,864.0,1768.1220664521682,1958.1220664521682,300.0,880.8616260828413,0.0,1,1,0,0
S001,model_comparison,A,9,683.0,891.060323145946,933.8499866867644,1088.7340527066067,1125.1111260109117,208.06032314594597,208.06032314594597,154.88406601984218,362.94438916578815,891.060323145946,921.060323145946,1115.1111260109117,1305.1111260109117,300.0,759.727973386314,0.0,0,0,0,0
S001,model_comparison,A,10,83.0,104.0,140.38004199905342,140.38004199905342,149.29600986017874,21.0,21.0,0.0,21.0,104.0,134.0,140.38004199905342,330.38004199905345,300.0,828.4322184634873,0.0,0,0,0,0
S001,model_comparison,A,11,236.0,236.0,290.66546369985065,591.0970124450806,625.7995005190987,0.0,0.0,300.43154874523,300.43154874523,236.0,266.0,615.7995005190987,805.7995005190987,300.0,1250.8173253954726,0.0,1,1,0,0
S001,model_comparison,A,12,476.0,710.3800419990534,728.2677982913967,779.5511546633988,821.1791443114744,234.38004199905345,234.38004199905345,51.28335637200212,285.66339837105556,710.3800419990534,740.3800419990534,811.1791443114744,1001.1791443114744,300.0,850.8390162938665,0.0,0,0,0,0
S001,model_comparison,A,13,661.0,661.0,674.1716480780037,674.1716480780037,711.060323145946,0.0,0.0,0.0,0.0,661.0,691.0,701.060323145946,891.060323145946,300.0,750.7310389965305,0.0,0,0,0,0
S001,model_comparison,A,14,860.0,860.0,872.666638907718,2203.8510646853647,2245.47905433344,0.0,0.0,1331.1844257776465,1331.1844257776465,860.0,890.0,2235.47905433344,2425.47905433344,300.0,740.7603338781507,0.0,0,0,0,0
S001,model_comparison,A,15,822.0,822.0,886.7297721298786,1322.1984609812473,1363.8264506293228,0.0,0.0,435.4686888513687,435.4686888513687,822.0,852.0,1353.8264506293228,1543.8264506293228,300.0,1364.0517000076409,0.0,1,1,0,0
S001,model_comparison,A,16,643.0,1085.1111260109117,1132.1984609812473,1132.1984609812473,1173.8264506293228,442.1111260109117,442.1111260109117,0.0,442.1111260109117,1085.1111260109117,1115.1111260109117,1163.8264506293228,1353.8264506293228,300.0,1104.0427591639527,0.0,2,2,0,0
S001,model_comparison,A,17,604.0,1055.7995005190987,1096.3883967709558,1096.3883967709558,1147.6220139097336,451.79950051909873,451.79950051909873,0.0,451.79950051909873,1055.7995005190987,1085.7995005190987,1137.6220139097336,1327.6220139097336,300.0,822.1077379199229,0.0,0,0,0,0
S001,model_comparison,A,18,891.0,1097.5369060894286,1157.4722287444563,1317.4722287444563,1326.3881966055817,206.5369060894286,206.5369060894286,160.0,366.5369060894286,1097.5369060894286,1127.5369060894286,1317.4722287444563,1507.4722287444563,300.0,880.8616260828413,0.0,1,1,0,0
S001,model_comparison,A,19,889.0,951.060323145946,996.2129464252384,1975.5933591716653,2010.2958472456833,62.06032314594597,62.06032314594597,979.3804127464267,1041.4407358923727,951.060323145946,981.060323145946,2000.2958472456833,2190.295847245683,300.0,908.8856964664819,0.0,1,1,0,0
S001,model_comparison,A,20,366.0,366.0,418.85429495068695,755.5292681507493,782.1479236228417,0.0,0.0,336.67497320006237,336.67497320006237,366.0,396.0,772.1479236228417,962.1479236228417,300.0,497.30655051495665,0.0,0,0,0,0
S001,model_comparison,A,21,845.0,1067.5369060894286,1127.4722287444563,1127.4722287444563,1136.3881966055817,222.5369060894286,222.5369060894286,0.0,222.5369060894286,1067.5369060894286,1097.5369060894286,1127.4722287444563,1317.4722287444563,300.0,880.8616260828413,0.0,1,1,0,0
S001,model_comparison,A,22,276.0,276.0,323.73996212579317,559.5511546633988,601.1791443114744,0.0,0.0,235.81119253760562,235.81119253760562,276.0,306.0,591.1791443114744,781.1791443114744,300.0,1250.8173253954726,0.0,1,1,0,0
