scenario_name,run_count,wall_time_s,generated_missions_total,completed_within_duration_total,completed_after_duration_total,collision_risk_count_total,building_collision_count_total,aircraft_collision_count_total,avg_pad_delay_s_mean,max_pad_delay_s_max,avg_flight_time_s_mean,models,completion_rate,after_duration_rate,collision_risk_per_1000_missions,building_risk_per_1000_missions,aircraft_risk_per_1000_missions
S1,40,3608.449705208,43200,14133,29067,211754,14886,196868,2077.099920950496,6007.747648923709,919.0273566335618,"A,B,C,D",0.3271527777777778,0.6728472222222223,4901.712962962963,344.58333333333337,4557.12962962963
S2,28,3691.563816041,30240,14589,15651,132418,16212,116206,1805.2262837911617,5436.124985343022,815.4185080128119,"A,B,C,D",0.4824404761904762,0.5175595238095239,4378.902116402116,536.1111111111111,3842.7910052910056
S3,28,3912.816877958,30240,23223,7017,102613,15548,87065,1399.4354367887956,4948.030344088062,661.2306620065934,"A,B,C,D",0.7679563492063493,0.2320436507936508,3393.287037037037,514.1534391534392,2879.1335978835978
S4,56,3642.397670417,60480,56945,3535,68427,24841,43586,435.3114838088073,2540.765388947577,296.11227831858247,"A,B,C,D",0.9415509259259259,0.05844907407407408,1131.3988095238094,410.7308201058201,720.6679894179894
S5,44,3636.143880959,47520,45760,1760,48946,29750,19196,258.9323509352675,1471.5776037521318,227.46293418388416,"A,B,C,D",0.9629629629629629,0.037037037037037035,1030.0084175084173,626.0521885521886,403.956228956229
