scenario_id,sweep,model,flight_id,aircraft_id,planned_start_time,start_time,cruise_arrival_time,descent_start_time,end_time,delay_s,takeoff_pad_delay_s,landing_pad_delay_s,pad_delay_s,takeoff_pad_start_s,takeoff_pad_end_s,landing_pad_start_s,landing_pad_end_s,cruise_altitude,distance_m,detour_distance_m,building_risks,building_collisions,path_changes,altitude_changes
S6,continuous,B,0,104,0.0,0.0,67.32121305680346,67.32121305680346,108.05284607286511,0.0,0.0,0.0,0.0,0.0,0.0,98.05284607286511,98.05284607286511,350.0,2413.8570774438595,0.0,0,0,0,1
S6,continuous,B,1,85,10.0,10.0,51.666171610018324,51.666171610018324,78.55813294496731,0.0,0.0,0.0,0.0,10.0,10.0,68.55813294496731,68.55813294496731,350.0,1630.519017933113,0.0,0,0,0,1
S6,continuous,B,2,111,20.0,20.0,117.07556843794828,117.07556843794828,137.85965864458916,0.0,0.0,0.0,0.0,20.0,20.0,127.85965864458915,127.85965864458915,350.0,3839.0488592136876,0.0,0,0,0,1
S6,continuous,B,3,184,30.0,30.0,121.89220402623104,121.89220402623104,162.97702844965622,0.0,0.0,0.0,0.0,30.0,30.0,152.97702844965622,152.97702844965622,350.0,5011.355487038079,0.0,0,0,0,1
S6,continuous,B,4,315,40.0,40.0,138.50360080752492,138.50360080752492,194.37648695396518,0.0,0.0,0.0,0.0,40.0,40.0,184.37648695396518,184.37648695396518,350.0,5387.68253351677,0.0,0,0,0,1
S6,continuous,B,5,342,50.0,50.0,142.92541811874662,142.92541811874662,182.77566355989424,0.0,0.0,0.0,0.0,50.0,50.0,172.77566355989424,172.77566355989424,350.0,3633.0057896034255,0.0,0,0,0,1
S6,continuous,B,6,243,60.0,60.0,161.77477181035476,161.77477181035476,178.32025275496852,0.0,0.0,0.0,0.0,60.0,60.0,168.32025275496852,168.32025275496852,350.0,4410.280389875949,0.0,0,0,0,1
S6,continuous,B,7,123,70.0,70.0,136.08150522102676,136.08150522102676,184.5833295120304,0.0,0.0,0.0,0.0,70.0,70.0,174.5833295120304,174.5833295120304,300.0,3936.6391409326675,3.1317485558088265,2,0,2,0
S6,continuous,B,8,156,80.0,80.0,105.0327370183704,105.0327370183704,141.97136336577603,0.0,0.0,0.0,0.0,80.0,80.0,131.971363365776,131.971363365776,350.0,571.8567035522011,0.0,0,0,0,1
S6,continuous,B,9,299,90.0,90.0,180.48680028549364,180.48680028549364,208.03056405670077,0.0,0.0,0.0,0.0,90.0,90.0,198.03056405670077,198.03056405670077,300.0,5766.534179637765,0.3178836884444536,1,0,1,0
S6,continuous,B,10,289,100.0,100.0,181.84292195087443,181.84292195087443,221.69316739202205,0.0,0.0,0.0,0.0,100.0,100.0,211.69316739202205,211.69316739202205,350.0,3565.414275128645,0.0,0,0,0,1
S6,continuous,B,11,96,110.0,110.0,163.81704056797315,163.81704056797315,222.31886485897678,0.0,0.0,0.0,0.0,110.0,110.0,212.31886485897678,212.31886485897678,350.0,2860.0071677353803,0.0,0,0,0,1
S6,continuous,B,12,191,120.0,120.0,172.84574898211105,172.84574898211105,213.75522967144374,0.0,0.0,0.0,0.0,120.0,120.0,203.75522967144374,203.75522967144374,300.0,2814.7195545141767,0.0,0,0,0,0
S6,continuous,B,13,192,130.0,130.0,189.8967601698186,189.8967601698186,240.45711733761482,0.0,0.0,0.0,0.0,130.0,130.0,230.45711733761482,230.45711733761482,350.0,2387.7798817604853,0.0,0,0,0,1
S6,continuous,B,14,66,140.0,140.0,182.47201970548178,182.47201970548178,223.19935375508467,0.0,0.0,0.0,0.0,140.0,140.0,213.19935375508467,213.19935375508467,300.0,1993.433701624946,0.0,0,0,0,0
S6,continuous,B,15,130,150.0,150.0,251.3435784374429,251.3435784374429,267.88905938205664,0.0,0.0,0.0,0.0,150.0,150.0,257.88905938205664,257.88905938205664,350.0,5309.421519479371,0.0,0,0,0,1
S6,continuous,B,16,309,160.0,160.0,249.92399047537225,249.92399047537225,284.3009010864436,0.0,0.0,0.0,0.0,160.0,160.0,274.3009010864436,274.3009010864436,300.0,3988.905048318627,0.13972247275069094,1,0,1,0
S6,continuous,B,17,190,170.0,170.0,223.4351546136963,223.4351546136963,270.5058815487159,0.0,0.0,0.0,0.0,170.0,170.0,260.5058815487159,260.5058815487159,300.0,2099.165176363747,0.0,0,0,0,0
