scenario_id,sweep,model,vertiport_id,flight_id,aircraft_id,operation,start_s,end_s,duration_s,pad_delay_s
S4,continuous,A,7,0,60,takeoff,0.0,30.0,30.0,0.0
S4,continuous,A,0,0,60,landing,50.282482140771954,240.28248214077195,190.0,0.0
S4,continuous,A,17,1,11,takeoff,10.0,40.0,30.0,0.0
S4,continuous,A,26,1,11,landing,142.28975296039934,332.28975296039937,190.00000000000003,0.0
S4,continuous,A,15,2,133,takeoff,20.0,50.0,30.0,0.0
S4,continuous,A,25,2,133,landing,91.75822487109538,281.75822487109536,190.0,0.0
S4,continuous,A,10,3,173,takeoff,30.0,60.0,30.0,0.0
S4,continuous,A,29,3,173,landing,114.67575978207543,304.67575978207543,190.0,0.0
S4,continuous,A,17,4,10,takeoff,40.0,70.0,30.0,0.0
S4,continuous,A,28,4,10,landing,124.10294023723102,314.102940237231,189.99999999999997,0.0
S4,continuous,A,19,5,87,takeoff,50.0,80.0,30.0,0.0
S4,continuous,A,16,5,87,landing,128.55019505415237,318.55019505415237,190.0,0.0
S4,continuous,A,7,6,129,takeoff,60.0,90.0,30.0,0.0
S4,continuous,A,8,6,129,landing,136.5128251423701,326.5128251423701,190.0,0.0
S4,continuous,A,26,7,81,takeoff,70.0,100.0,30.0,0.0
S4,continuous,A,4,7,81,landing,179.82175091455125,369.8217509145512,189.99999999999997,0.0
S4,continuous,A,24,8,131,takeoff,80.0,110.0,30.0,0.0
S4,continuous,A,12,8,131,landing,133.21131972015417,323.21131972015417,190.0,0.0
S4,continuous,A,16,9,88,takeoff,90.0,120.0,30.0,0.0
S4,continuous,A,12,9,88,landing,323.21131972015417,513.2113197201542,190.0,154.00624330484607
S4,continuous,A,3,10,182,takeoff,100.0,130.0,30.0,0.0
S4,continuous,A,8,10,182,landing,326.5128251423701,516.51282514237,189.99999999999994,129.48070742710001
S4,continuous,A,18,11,51,takeoff,110.0,140.0,30.0,0.0
S4,continuous,A,10,11,51,landing,187.01451543019425,377.01451543019425,190.0,0.0
S4,continuous,A,22,12,198,takeoff,120.0,150.0,30.0,0.0
S4,continuous,A,7,12,198,landing,138.37109905926314,328.37109905926314,190.0,0.0
S4,continuous,A,30,13,25,takeoff,130.0,160.0,30.0,0.0
S4,continuous,A,3,13,25,landing,207.7813992501498,397.7813992501498,189.99999999999997,0.0
S4,continuous,A,3,14,135,takeoff,140.0,170.0,30.0,0.0
S4,continuous,A,4,14,135,landing,369.8217509145512,559.8217509145512,190.0,107.50165222936585
S4,continuous,A,11,15,43,takeoff,150.0,180.0,30.0,0.0
S4,continuous,A,8,15,43,landing,516.51282514237,706.51282514237,190.0,300.63830824870604
S4,continuous,A,26,16,14,takeoff,332.28975296039937,362.28975296039937,30.0,172.28975296039937
S4,continuous,A,14,16,14,landing,427.4754057949383,617.4754057949383,190.0,0.0
S4,continuous,A,8,17,75,takeoff,706.51282514237,736.51282514237,30.0,536.51282514237
S4,continuous,A,7,17,75,landing,792.1022002165821,982.1022002165821,190.0,0.0
S4,continuous,A,4,18,106,takeoff,559.8217509145512,589.8217509145512,30.0,379.8217509145512
S4,continuous,A,2,18,106,landing,614.8653592276038,804.8653592276038,190.0,0.0
S4,continuous,A,12,19,93,takeoff,513.2113197201542,543.2113197201542,30.0,323.21131972015417
S4,continuous,A,7,19,93,landing,982.1022002165821,1172.102200216582,190.0,371.36984567471995
S4,continuous,A,18,20,17,takeoff,200.0,230.0,30.0,0.0
S4,continuous,A,12,20,17,landing,543.2113197201542,733.2113197201542,190.0,280.34202146956113
S4,continuous,A,21,21,87,takeoff,210.0,240.0,30.0,0.0
S4,continuous,A,25,21,87,landing,281.75822487109536,471.75822487109536,190.0,36.357863825526806
S4,continuous,A,30,22,162,takeoff,220.0,250.0,30.0,0.0
S4,continuous,A,26,22,162,landing,362.28975296039937,552.2897529603994,190.0,24.223435014866993
S4,continuous,A,22,23,147,takeoff,230.0,260.0,30.0,0.0
S4,continuous,A,3,23,147,landing,397.7813992501498,587.7813992501498,190.0,105.70327304135992
S4,continuous,A,30,24,178,takeoff,250.0,280.0,30.0,10.0
S4,continuous,A,12,24,178,landing,733.2113197201542,923.2113197201542,190.0,369.26440420007964
S4,continuous,A,8,25,175,takeoff,736.51282514237,766.51282514237,30.0,486.51282514237005
S4,continuous,A,7,25,175,landing,1172.102200216582,1362.102200216582,190.0,350.0
S4,continuous,A,23,26,81,takeoff,260.0,290.0,30.0,0.0
S4,continuous,A,15,26,81,landing,314.39840929583846,504.39840929583846,190.0,0.0
S4,continuous,A,13,27,36,takeoff,270.0,300.0,30.0,0.0
S4,continuous,A,27,27,36,landing,396.3165084933994,586.3165084933994,190.0,0.0
S4,continuous,A,3,28,129,takeoff,587.7813992501498,617.7813992501498,30.0,307.7813992501498
S4,continuous,A,31,28,129,landing,693.2065504356711,883.2065504356711,190.0,0.0
S4,continuous,A,21,29,165,takeoff,290.0,320.0,30.0,0.0
S4,continuous,A,15,29,165,landing,504.39840929583846,694.3984092958385,190.00000000000006,140.58632906708152
S4,continuous,A,29,30,86,takeoff,304.67575978207543,334.67575978207543,30.0,4.675759782075431
S4,continuous,A,16,30,86,landing,395.7484884015564,585.7484884015564,190.0,0.0
S4,continuous,A,22,31,113,takeoff,310.0,340.0,30.0,0.0
S4,continuous,A,5,31,113,landing,399.90714030956406,589.907140309564,190.0,0.0
S4,continuous,A,10,32,28,takeoff,377.01451543019425,407.01451543019425,30.0,57.01451543019425
S4,continuous,A,29,32,28,landing,461.6902752122697,651.6902752122696,189.99999999999994,0.0
S4,continuous,A,21,33,118,takeoff,330.0,360.0,30.0,0.0
S4,continuous,A,17,33,118,landing,402.18906725636714,592.1890672563671,190.0,0.0
S4,continuous,A,5,34,78,takeoff,340.0,370.0,30.0,0.0
S4,continuous,A,13,34,78,landing,435.3543439960068,625.3543439960067,189.99999999999994,0.0
S4,continuous,A,0,35,101,takeoff,350.0,380.0,30.0,0.0
S4,continuous,A,10,35,101,landing,407.01451543019425,597.0145154301943,190.0,13.59747545349245
S4,continuous,A,20,36,4,takeoff,360.0,390.0,30.0,0.0
S4,continuous,A,2,36,4,landing,407.6695382731102,597.6695382731102,190.0,0.0
S4,continuous,A,23,37,140,takeoff,370.0,400.0,30.0,0.0
S4,continuous,A,12,37,140,landing,923.2113197201542,1113.2113197201543,190.0000000000001,432.6172056023361
S4,continuous,A,27,38,157,takeoff,586.3165084933994,616.3165084933994,30.0,206.3165084933994
S4,continuous,A,26,38,157,landing,718.4789272654341,908.4789272654341,190.0,0.0
S4,continuous,A,19,39,126,takeoff,390.0,420.0,30.0,0.0
S4,continuous,A,28,39,126,landing,476.4836507867353,666.4836507867353,190.0,0.0
S4,continuous,A,18,40,180,takeoff,400.0,430.0,30.0,0.0
S4,continuous,A,15,40,180,landing,694.3984092958385,884.3984092958385,190.0,199.92923258869757
S4,continuous,A,7,41,42,takeoff,410.0,440.0,30.0,0.0
S4,continuous,A,18,41,42,landing,467.8614610143132,657.8614610143131,189.99999999999994,0.0
S4,continuous,A,30,42,60,takeoff,420.0,450.0,30.0,0.0
S4,continuous,A,5,42,60,landing,589.907140309564,779.907140309564,190.0,60.9035744623277
S4,continuous,A,13,43,116,takeoff,625.3543439960067,655.3543439960067,30.0,195.35434399600672
S4,continuous,A,23,43,116,landing,748.6077676070842,938.6077676070842,190.0,0.0
S4,continuous,A,8,44,137,takeoff,766.51282514237,796.51282514237,30.0,326.51282514237005
S4,continuous,A,18,44,137,landing,874.3975715741991,1064.397571574199,189.9999999999999,0.0
S4,continuous,A,29,45,183,takeoff,651.6902752122696,681.6902752122696,30.0,201.69027521226963
